influencer_id,name,category,platform,follower_count,total_posts,total_reach,engagement_rate_percent,total_conversions,conversion_rate_percent,total_revenue,avg_order_value,total_cost,roas,cost_per_conversion,performance_tier
HK004,Varsha Thapa,Beauty,Instagram,650000,5,905825,5.56,2601,0.2871,6412040.14,1804.18,139689.49,45.9,53.71,High
HK007,Sangram Chougule,Bodybuilding,Instagram,2100000,5,2929743,5.67,5756,0.1965,17030815.92,2206.92,592517.26,28.74,102.94,High
HK001,Sahil Khan,Fitness,Instagram,9300000,5,11001251,4.16,26253,0.2386,49637628.68,1401.08,2507806.44,19.79,95.52,High
HK013,Rohit Khatri,Fitness,Instagram,890000,5,1092185,3.61,2085,0.1909,5114752.45,1801.6,275022.98,18.6,131.91,High
HK002,Ria Das,Lifestyle,YouTube,485000,5,290444,5.97,819,0.282,2494477.19,2267.71,200137.22,12.46,244.37,Medium
HK015,Arjun Kapoor Fitness,Fitness,Instagram,680000,5,549373,3.94,1425,0.2594,3084768.44,1605.81,254760.64,12.11,178.78,Medium
HK008,Ankit Baiyanpuria,Fitness,Instagram,8900000,5,9196527,5.38,23767,0.2584,56027518.91,1741.5,5631012.8,9.95,236.93,Medium
HK016,Nisha Madhulika Health,Health,YouTube,440000,5,271942,5.02,834,0.3067,1858056.47,1617.11,210967.83,8.81,252.96,Medium
HK011,Shweta Rathore,Fitness,Instagram,380000,5,351853,4.35,830,0.2359,2072939.45,1818.37,248734.23,8.33,299.68,Medium
HK017,Tarun Kumar,Fitness,YouTube,1100000,5,845601,8.65,3530,0.4175,11602601.26,2444.71,1602770.45,7.24,454.04,Low
HK006,Vriti Malhotra,Beauty,Instagram,280000,5,322736,6.27,732,0.2268,1208682.16,1251.22,178190.7,6.78,243.43,Low
HK009,Fitness Blender,Fitness,YouTube,750000,5,480172,3.65,2113,0.4401,5460030.01,1937.56,818161.55,6.67,387.2,Low
HK012,Deepika Mehta,Lifestyle,Instagram,520000,5,664229,4.45,1302,0.196,3208088.81,1826.93,484797.37,6.62,372.35,Low
HK005,Dr Paramjeet Singh,Doctor,YouTube,340000,5,244892,6.28,986,0.4026,1823599.23,1361.91,279365.6,6.53,283.33,Low
HK003,Jeet Selal,Health,YouTube,1200000,5,613428,6.51,2071,0.3376,3404613.5,1205.6,564052.76,6.04,272.36,Low
HK019,Mumbai Fitness Girl,Fitness,Instagram,290000,5,418803,4.3,980,0.234,2193400.67,1660.41,487511.91,4.5,497.46,Low
HK010,Saket Gokhale,Fitness,Instagram,420000,5,563926,4.83,1493,0.2648,2707540.44,1351.07,617225.45,4.39,413.41,Low
HK014,Priya Dogra,Lifestyle,Instagram,350000,5,426829,3.52,1134,0.2657,2189948.64,1445.51,498378.13,4.39,439.49,Low
HK018,Shraddha Ranghar,Sports,Facebook,310000,5,88927,2.14,118,0.1327,320459.04,2067.48,89226.05,3.59,756.15,Low
HK020,Health with Harsha,Health,YouTube,370000,5,210719,8.47,519,0.2463,946191.89,1371.29,274304.06,3.45,528.52,Low
