influencer_id,name,category,gender,follower_count,platform
HK001,Sahil Khan,Fitness,Male,9300000,Instagram
HK002,Ria Das,Lifestyle,Female,485000,YouTube
HK003,Jeet Selal,Health,Male,1200000,YouTube
HK004,Varsha Thapa,Beauty,Female,650000,Instagram
HK005,Dr Paramjeet Singh,Doctor,Male,340000,YouTube
HK006,Vriti Malhotra,Beauty,Female,280000,Instagram
HK007,Sangram Chougule,Bodybuilding,Male,2100000,Instagram
HK008,Ankit Baiyanpuria,Fitness,Male,8900000,Instagram
HK009,Fitness Blender,Fitness,Unisex,750000,YouTube
HK010,Saket Gokhale,Fitness,Male,420000,Instagram
HK011,Shweta Rathore,Fitness,Female,380000,Instagram
HK012,Deepika Mehta,Lifestyle,Female,520000,Instagram
HK013,Rohit Khatri,Fitness,Male,890000,Instagram
HK014,Priya Dogra,Lifestyle,Female,350000,Instagram
HK015,Arjun Kapoor Fitness,Fitness,Male,680000,Instagram
HK016,Nisha Madhulika Health,Health,Female,440000,YouTube
HK017,Tarun Kumar,Fitness,Male,1100000,YouTube
HK018,Shraddha Ranghar,Sports,Female,310000,Facebook
HK019,Mumbai Fitness Girl,Fitness,Female,290000,Instagram
HK020,Health with Harsha,Health,Male,370000,YouTube
